window,train_start,train_end,test_start,test_end,train_calmar,test_calmar,test_sharpe,test_sortino,test_return,test_max_dd,test_win_rate,param_rsi_period,param_rsi_oversold,param_rsi_overbought,param_macd_fast,param_macd_slow,param_macd_signal,param_bb_period,param_bb_std,param_stop_loss,param_take_profit
1,0,5000,5000,6000,0.308898912397497,1.1220553087697747,1.534705651488247,1.678245824264888,3.5346791794738763,31.73432888376615,100.0,23,24,66,11,21,10,22,2.449979784523401,0.040333060840340045,0.0663701184058748
2,1000,6000,6000,7000,0.5069655025318703,2.280535753066244,2.0086144589437116,1.5819392121915374,6.291044005267277,31.020392237192485,88.88888888888889,24,24,67,14,22,11,16,1.9689290134216795,0.02825454847187097,0.03378719885981724
3,2000,7000,7000,8000,1.227496859005092,-2.8599160613743475,-0.12520994036948518,-0.11084735900823664,-28.810426031024207,33.1897453132409,75.0,29,24,67,14,26,7,23,2.3028927823021768,0.03770701530450048,0.08211612431659379
4,3000,8000,8000,9000,0.6500672905258736,-0.9740330781550033,0.8759841231609888,1.0216855752478602,-4.5637335752982455,34.50457337111759,33.33333333333333,21,29,71,9,28,10,16,2.0662224551016384,0.04413139350850741,0.06179892797869377
5,4000,9000,9000,10000,1.0552185978707083,-2.7338398185586272,0.08945071199406367,0.08742947137197538,-35.18613813165467,35.76240721536257,75.0,28,25,70,14,24,7,21,2.272750356034176,0.03984369645135565,0.07406686196396184
6,5000,10000,10000,11000,0.09490031669359925,-2.7174232525002684,0.4040697769665985,0.45650660531996895,-26.80409339206069,34.41418090426698,100.0,23,27,74,8,26,8,24,2.1166459746774735,0.07342092156408969,0.09017915630691827
7,6000,11000,11000,12000,-0.1000977605149249,-2.9777121634916024,0.5667773014813839,0.6481754628163008,-29.528038826259596,32.02181168828209,75.0,23,26,70,13,27,7,21,1.716856950397151,0.0593635426386117,0.06872081353080607
8,7000,12000,12000,13000,-0.12623856792055896,-3.008966156454461,0.6114224398150673,0.5781723830981489,-29.06490902245241,31.59787388171622,60.0,23,21,69,10,25,10,15,1.9456574191790326,0.07050572986190233,0.03525399123386457
9,8000,13000,13000,14000,0.09903477852042895,-2.8155426079095833,0.9808869021704838,1.1458125855196115,-31.614920735694263,34.24874439503585,62.5,13,21,67,10,28,9,21,2.0815982419941528,0.06972555396557517,0.057611483496727664
10,9000,14000,14000,15000,0.44459661239474574,-0.13993088425936212,0.7116640060731012,0.7364703805717913,-0.5478789480005797,33.61113312577483,50.0,24,21,79,9,26,10,20,2.0968059367818714,0.05228170937237473,0.0926361085916463
11,10000,15000,15000,16000,0.5262456006115315,-2.8138918483271773,0.481648089668047,0.5512165374242668,-31.480377833696227,34.24677322706716,100.0,19,24,69,12,28,11,22,1.8631220541075344,0.07924885457315241,0.0697510102575118
12,11000,16000,16000,17000,0.36915002685338816,-1.9532897711068768,0.1314418628315302,0.1654536064959007,-9.949315036452756,30.77169368401354,100.0,21,31,72,15,20,10,23,2.3530284944112343,0.0771396473102128,0.09036477440498138
13,12000,17000,17000,18000,1.4373538578734972,1.230574820919554,1.3667368724002231,1.553813233517157,3.7729392280861473,31.17950632769747,66.66666666666666,27,24,66,9,24,7,15,2.327193514127768,0.056947250399866846,0.046707699673974395
14,13000,18000,18000,19000,0.9657253687549869,-2.8262189714008805,-0.26467408844605506,-0.2934191111121667,-33.24447137882106,34.36022693008002,75.0,22,22,69,10,25,10,17,2.0142344384136117,0.055544874131722544,0.03325152889039984
15,14000,19000,19000,20000,-0.4023363278415294,-2.7685841881409443,0.4520883696871527,0.5184523509620295,-32.00047545004242,34.892034620577725,100.0,19,30,71,12,23,11,16,1.7378870201715215,0.025950775396426477,0.09221666594444776
16,15000,20000,20000,21000,0.20594689370618327,-3.0315888150970185,-0.20608915118651508,-0.1926519258144057,-30.80872672089885,31.680504158307887,33.33333333333333,15,20,80,8,24,8,16,2.2119778022134113,0.034632497651814094,0.09504984865545224
17,16000,21000,21000,22000,-0.14592763652066018,1.966251093689333,2.5647160987139657,3.0190191359268015,5.791883833249534,32.46731543788389,84.61538461538461,14,24,66,14,27,11,24,1.8965454496664076,0.059592668014266534,0.0562553213441993
18,17000,22000,22000,23000,0.6239003648476966,-1.4552921670880778,0.2791629076225183,0.2791929117769085,-9.456012741391318,39.95652083103783,0.0,29,27,72,8,22,8,25,2.0811731700353744,0.07907101459898618,0.07674063060118834
19,18000,23000,23000,24000,-0.19380861352436135,-5.731352982239886,-8.702328654528152,-6.891529161018586,-9.36517917541172,10.081182133543606,0.0,29,28,76,12,22,11,25,1.9466382964541664,0.030916097496635934,0.07871207638064344
20,19000,24000,24000,25000,0.06234657797446905,0.5628940276503156,1.3326621079533558,1.0236394030806784,1.915250218815201,32.15405683084073,66.66666666666666,29,20,69,8,23,11,25,2.4621083172257046,0.03567301323514039,0.04777057069596083
21,20000,25000,25000,26000,-0.036734335374763005,-2.852648650177775,0.13856813156543066,0.1182843672811216,-23.237869278243483,31.606622736539858,100.0,25,20,73,8,24,8,23,2.4692698520487175,0.06582844832468288,0.09307996727910418
22,21000,26000,26000,27000,0.4436960170468552,0.10394978150794396,2.0102899053895738,2.531644472629834,0.4130465378313408,35.40714934547598,62.5,17,30,66,10,20,11,15,2.2161714964751464,0.05145111533849393,0.08268284656407524
23,22000,27000,27000,28000,0.3611055491252791,-0.21602886875954314,1.5945109476694497,1.9466632232223053,-0.9036140837023088,35.41685613357004,66.66666666666666,15,25,71,12,25,10,17,2.3811572280905797,0.06425651549361247,0.08697146139184773
24,23000,28000,28000,29000,0.7645714387366285,-2.92857677969949,0.835693140858503,0.6198521766450609,-29.805817723807458,32.613098034639634,40.0,18,24,78,10,23,9,16,2.3021969807540397,0.02447303862078625,0.09908208556203621
25,24000,29000,29000,30000,-0.1012800466861677,-2.8665838399485506,0.977805279226343,1.0655091207414715,-21.54704450467565,30.730515932232134,83.33333333333334,13,24,80,11,26,11,19,2.1332513654100946,0.05880509759708351,0.0703720819494491
26,25000,30000,30000,31000,0.7315171127407727,-0.015439709972389932,1.2358980434146394,1.3453651530802715,-0.061727904157216074,34.97356342264125,42.857142857142854,18,24,78,10,23,9,16,2.3021969807540397,0.02447303862078625,0.09908208556203621
27,26000,31000,31000,32000,1.4254307134132558,-1.0919736815859904,1.1451368392618648,1.3156026655819926,-5.806645076107342,37.38001193268066,33.33333333333333,19,23,79,12,22,8,15,2.142581992314992,0.04690781210155949,0.06780660808114143
28,27000,32000,32000,33000,1.520678855537141,-1.2953618912775366,0.3366732340675632,0.41041804673092186,-7.198978360554264,37.1038456576515,50.0,27,26,74,11,24,9,22,2.4371041436842438,0.0704070295693748,0.09213543067694722
29,28000,33000,33000,34000,0.5463632611086447,1.9162552846424117,1.3825907562807576,1.6392483458533222,5.53467863851973,31.508758848552894,80.0,21,27,75,11,23,7,21,2.4540863933860035,0.075632468683759,0.09538665263539073
30,29000,34000,34000,35000,0.8067542596755978,-3.953391146549545,-4.133735757765282,-4.615552841751868,-8.72815763089222,13.938542254767592,100.0,26,29,80,8,26,9,24,2.082498683310118,0.07805687656551835,0.0881689643166437
31,30000,35000,35000,36000,-0.17839107116865613,0.6793307363417211,1.8984741276672015,2.369312437954975,2.4165045064907797,34.28534469699498,62.5,18,34,66,8,22,10,25,2.3329328369214237,0.0700074337626244,0.08639858808252916
32,31000,36000,36000,37000,0.18465021575318774,-1.4915166458618672,0.7258514980055766,0.68795128371323,-9.993161258966687,40.412584614064436,33.33333333333333,20,26,72,12,29,8,19,2.222277954751341,0.07588616626541267,0.06686622274577185
33,32000,37000,37000,38000,0.7202909442323504,-2.465412378256971,1.1132123644996308,1.2064278617461082,-28.750420759645746,38.48533231491164,66.66666666666666,17,25,68,12,25,8,16,2.22067674663649,0.05996476113125253,0.08704035703778745
34,33000,38000,38000,39000,-0.136922040441139,1.5659405514885756,0.981793547569394,0.9704817403329733,4.715121843239012,31.79008187208127,66.66666666666666,16,35,77,10,23,10,19,2.4331225692313874,0.05597640872637093,0.06546987691019299
35,34000,39000,39000,40000,0.8284911269523983,2.086184026158383,1.2685721274027832,1.0148706246022712,6.105830524094613,32.66816360590535,66.66666666666666,29,24,70,14,28,11,23,1.9256772749935664,0.03043690046981276,0.09995828050488689
36,35000,40000,40000,41000,1.2400395626970167,-2.7113387980216292,0.9554495910229875,0.662689101043791,-28.00595657586783,34.8144709742604,42.857142857142854,28,24,65,13,26,11,19,1.7038165894968071,0.02400852611589025,0.0925907761922161
37,36000,41000,41000,42000,0.8379373666598517,-5.1173797828237575,-3.341092845634841,-3.5174335702182193,-6.074011872402075,8.261043067495484,0.0,19,25,77,9,25,9,18,2.354105908409349,0.03667468100425053,0.09465437434244414
38,37000,42000,42000,43000,0.9592173316900207,-2.928483923382037,0.10904607654191081,0.08642851457990591,-22.531819438725588,30.50732724740801,75.0,23,25,70,13,21,9,21,2.0743945067653327,0.0295905767774535,0.09525156734894304
39,38000,43000,43000,44000,0.21532328860706482,-0.3818253913954578,2.185274290452991,2.7190798419510758,-1.6001534202837342,34.544615093454226,70.0,14,28,68,13,26,9,15,1.9446014495386774,0.03843917607975706,0.08962649748737073
40,39000,44000,44000,45000,0.8895365312200594,-2.92239837054988,-0.06333612191329471,-0.03669886257187443,-28.14683860011158,32.332790914707196,50.0,28,20,71,11,21,9,22,1.886867766903423,0.04384942761115803,0.05456928905422486
41,40000,45000,45000,46000,-0.09254461287753034,-0.46059158252898624,2.1937340347311847,2.7762333904575582,-1.9845161844667336,34.99565474693564,54.54545454545454,14,31,69,11,27,11,20,2.0719667500925874,0.03462777130670497,0.099231246595366
42,41000,46000,46000,47000,0.769122100127998,1.001491639257182,1.1362856385148998,0.8352704884561442,3.12978587517565,30.98121598580419,100.0,25,21,71,15,30,11,21,1.572596001646136,0.0539960376291895,0.058127485389781394
43,42000,47000,47000,48000,1.9866696869596756,-0.7711220773451534,0.5688989375043371,0.6130216635270245,-3.757003511247037,36.9886384745476,50.0,17,21,77,15,29,10,24,2.4013126166995176,0.05300221527726358,0.0999580302040263
44,43000,48000,48000,49000,1.1001469100849435,1.389679148603442,2.18942967763778,2.5191267157313355,4.49167600906788,33.8221296305686,46.15384615384615,17,27,73,13,20,9,24,2.1542434994192523,0.03968973481457465,0.07711722613971705
45,44000,49000,49000,50000,2.097403751650924,4.2335676066793235,1.9231676702578002,2.3169856575102328,9.97821721742711,30.76714676639266,87.5,21,27,71,13,24,8,23,2.255294999627181,0.032214845698693824,0.0846727050895872
46,45000,50000,50000,51000,2.144483619775709,-0.7728274879829004,1.5092653906815243,1.8227958320161963,-3.144660701299651,31.617646234831813,50.0,19,29,70,14,29,7,23,2.1089607104368704,0.029554646923388342,0.0954961463854636
47,46000,51000,51000,52000,1.7420390407641424,-2.604523193411536,0.3198127726379751,0.36927732157352144,-28.96480660805565,36.481026032740225,60.0,21,30,71,8,25,8,16,2.1896744252117673,0.06775264661611895,0.08899983230460812
48,47000,52000,52000,53000,1.0721624020889218,-0.38475515875525407,1.6001001750262103,1.8973313606234377,-1.6201255087920474,34.68281654882307,50.0,12,30,79,9,26,9,17,2.0672934646413546,0.028292079618643325,0.04474948091472285
49,48000,53000,53000,54000,1.4712776695760335,-2.724253908858252,0.9877087458768722,1.2385960167065184,-34.15000973679756,35.76603833505796,71.42857142857143,19,32,74,13,24,8,21,1.8300119185283734,0.038182839083947546,0.06735165323573823
50,49000,54000,54000,55000,0.7518473548309285,-0.543513725764269,0.5884156607564931,0.5645238913171716,-1.9302635144376246,28.905802304968713,100.0,21,30,79,9,29,11,19,2.0470776954142247,0.0736880321897935,0.08217739347507082
51,50000,55000,55000,56000,1.0543698409535187,-1.9654734066167756,0.015999289150373477,0.0173986260619451,-11.77195798429369,33.91269563802186,40.0,23,34,79,13,24,8,21,2.409311195585128,0.05261973987281523,0.07285412554501018
