Metric,Value
Total Return (%),19.03
Sharpe Ratio,0.8268
Sortino Ratio,0.7824
Calmar Ratio,0.0926
Max Drawdown (%),39.47
Win Rate (%),63.27
Total Trades,98
Winning Trades,62
Losing Trades,36
Avg Win (%),5.41
Avg Loss (%),-6.04
