timestamp,price,cash,long_value,short_value,portfolio_value,num_long,num_short,signal,position_type
0,112650.99,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
1,112643.25,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
2,112969.99,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
3,112781.88,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
4,112122.9,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
5,112429.13,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
6,112398.66,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
7,112600.68,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
8,112815.5,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
9,112933.16,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
10,113130.63,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
11,112738.65,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
12,112876.97,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
13,112792.16,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
14,112336.62,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
15,112629.07,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
16,112519.99,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
17,112800.77,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
18,113691.19,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
19,114433.53,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
20,114649.89,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
21,114187.81,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
22,114273.45,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
23,115232.29,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
24,115538.9,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
25,115405.48,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
26,115307.51,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
27,115480.05,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
28,115530.9,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
29,115628.18,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
30,115316.0,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
31,115531.61,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
32,115500.01,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
33,115661.65,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
34,115683.59,10000.0,0.0,0.0,10000.0,0,0,hold,neutral
35,115603.45,7000.0,0.0,0.0,7000.0,0,1,sell,short
36,115522.31,7000.0,0.0,2.1030177288732483,7002.103017728873,0,1,hold,short
37,115683.54,7000.0,0.0,-2.075803425011737,6997.924196574988,0,1,hold,short
38,115629.6,7000.0,0.0,-0.6777657580731354,6999.322234241927,0,1,hold,short
39,115815.97,7000.0,0.0,-5.508175101554777,6994.491824898445,0,1,hold,short
40,115687.2,7000.0,0.0,-2.170664712757405,6997.829335287242,0,1,hold,short
41,115663.48,7000.0,0.0,-1.5558806293352176,6998.444119370664,0,1,hold,short
42,115494.23,7000.0,0.0,2.8308059692819856,7002.830805969282,0,1,hold,short
43,115669.41,7000.0,0.0,-1.709576650190953,6998.290423349809,0,1,hold,short
44,115690.76,7000.0,0.0,-2.262934162039928,6997.7370658379605,0,1,hold,short
45,115500.0,7000.0,0.0,2.681256889967131,7002.681256889967,0,1,hold,short
46,115685.63,7000.0,0.0,-2.1299728488885963,6997.870027151112,0,1,hold,short
47,115776.06,7000.0,0.0,-4.473772370973814,6995.526227629026,0,1,hold,short
48,115786.31,7000.0,0.0,-4.73943581343069,6995.260564186569,0,1,hold,short
49,115721.1,7000.0,0.0,-3.049297951712569,6996.950702048287,0,1,hold,short
50,115702.0,7000.0,0.0,-2.55425680528058,6997.445743194719,0,1,hold,short
51,115711.51,7000.0,0.0,-2.8007406431111654,6997.199259356888,0,1,hold,short
52,115821.72,7000.0,0.0,-5.657205813176927,6994.342794186823,0,1,hold,short
53,116027.94,6985.238833937512,0.0,0.0,6985.238833937512,0,1,sell,short
54,115986.69,6985.238833937512,0.0,1.0652219251499038,6986.304055862662,0,1,hold,short
55,115970.36,6985.238833937512,0.0,1.4869206897002016,6986.725754627212,0,1,hold,short
56,115915.8,6985.238833937512,0.0,2.8958542226984143,6988.13468816021,0,1,hold,short
57,115874.49,6985.238833937512,0.0,3.962625561557567,6989.20145949907,0,1,hold,short
58,115894.06,6985.238833937512,0.0,3.4572584567048263,6988.696092394217,0,1,hold,short
59,115747.54,6985.238833937512,0.0,7.24092673483739,6992.47976067235,0,1,hold,short
60,115672.8,6985.238833937512,0.0,9.170979745399666,6994.409813682912,0,1,hold,short
61,115701.43,6985.238833937512,0.0,8.431651170441334,6993.670485107953,0,1,hold,short
62,115968.56,6985.238833937512,0.0,1.5334031009795455,6986.772237038492,0,1,hold,short
63,115700.46,6985.238833937512,0.0,8.45670002540815,6993.69553396292,0,1,hold,short
64,115717.49,6985.238833937512,0.0,8.016924767582655,6993.255758705095,0,1,hold,short
65,115568.41,6985.238833937512,0.0,11.866701363979008,6997.105535301491,0,1,hold,short
66,115445.0,6985.238833937512,0.0,15.053587128409392,7000.292421065921,0,1,hold,short
67,115606.39,6985.238833937512,0.0,10.885922485986546,6996.124756423498,0,1,hold,short
68,115623.51,6985.238833937512,0.0,10.44382310759718,6995.682657045109,0,1,hold,short
69,115632.38,6985.238833937512,0.0,10.214768114237417,6995.45360205175,0,1,hold,short
70,115613.21,6985.238833937512,0.0,10.709805794361582,6995.948639731873,0,1,hold,short
71,115465.39,6985.238833937512,0.0,14.52704470286258,6999.7658786403745,0,1,hold,short
72,115342.57,6985.238833937512,0.0,17.69869456581781,7002.93752850333,0,1,hold,short
73,115125.12,6985.238833937512,0.0,23.314028083971966,7008.552862021484,0,1,hold,short
74,115407.49,6985.238833937512,0.0,16.02222893234557,7001.261062869858,0,1,hold,short
75,115542.73,6985.238833937512,0.0,12.529850431563434,6997.768684369075,0,1,hold,short
76,116088.68,6985.238833937512,0.0,-1.5685231450568542,6983.670310792455,0,1,hold,short
77,115884.03,6985.238833937512,0.0,3.716268781777609,6988.955102719289,0,1,hold,short
78,115899.99,6985.238833937512,0.0,3.304124735101263,6988.542958672613,0,1,hold,short
79,116284.64,6985.238833937512,0.0,-6.628908319660053,6978.609925617852,0,1,hold,short
80,116162.45,6985.238833937512,0.0,-3.473527300652315,6981.765306636859,0,1,hold,short
81,116394.72,6985.238833937512,0.0,-9.471566005005588,6975.767267932506,0,1,hold,short
82,116532.68,6985.238833937512,0.0,-13.034184593943092,6972.204649343569,0,1,hold,short
83,116488.0,6985.238833937512,0.0,-11.88038785174454,6973.358446085767,0,1,hold,short
84,116915.88,6985.238833937512,0.0,-22.929773484063226,6962.309060453449,0,1,hold,short
85,116909.97,6985.238833937512,0.0,-22.777156233696203,6962.461677703815,0,1,hold,short
